experiment,cell_id,n,p,q,alpha,theta,rho,power_exact,power_tw,outlier_r2_median,outlier_r2_q25,outlier_r2_q75,g_pred,B,seed,power_f10,loc_err_sigma
phase3_power_surface,n1000_a0.1_p1,1000,1,100,0.1,0.45,0.0,1.0,1.0,0.5060151775043549,0.49136922196679406,0.5174482519990042,0.505,300,20260823,0.17,0.041405362139354196
phase3_power_surface,n1000_a0.1_p1,1000,1,100,0.1,0.62,0.0,1.0,1.0,0.6581451758965687,0.6462488875256471,0.6686821845597296,0.658,300,20260823,1.0,0.006577919664589871
phase3_power_surface,n1000_a0.1_p1,1000,1,100,0.1,0.8,0.0,1.0,1.0,0.8192496058352976,0.8137240855982049,0.8268002807524613,0.8200000000000001,300,20260823,1.0,0.05174874472262303
phase3_power_surface,n1000_a0.1_p1,1000,1,100,0.1,0.93,0.0,1.0,1.0,0.9367538047791326,0.934148666151023,0.9395519562901199,0.937,300,20260823,1.0,0.04244348758818717
phase3_power_surface,n1000_a0.1_p5,1000,5,100,0.1,0.01,0.0,0.61,0.6266666666666667,0.15578179077872362,0.14584103617001712,0.1666345776423677,0.10900000000000001,300,20260823,0.0,6.244550680339671
phase3_power_surface,n1000_a0.1_p5,1000,5,100,0.1,0.02,0.0,0.9666666666666667,0.9666666666666667,0.19154401104014554,0.17794071332758699,0.20435414553387785,0.11800000000000001,300,20260823,0.0,8.682214905694135
phase3_power_surface,n1000_a0.1_p5,1000,5,100,0.1,0.04,0.0,1.0,1.0,0.2580558605974558,0.24379725123482116,0.27369860033242527,0.136,300,20260823,0.0,12.044528715266912
phase3_power_surface,n1000_a0.1_p5,1000,5,100,0.1,0.07,0.0,1.0,1.0,0.34831096287961316,0.33307885327651243,0.36556778934500045,0.16300000000000003,300,20260823,0.0,15.337882973084755
phase3_power_surface,n1000_a0.1_p5,1000,5,100,0.1,0.1,0.0,1.0,1.0,0.4273627380847063,0.409906396345589,0.44150162066819726,0.19,300,20260823,0.0,17.583092617876904
phase3_power_surface,n1000_a0.1_p5,1000,5,100,0.1,0.15,0.0,1.0,1.0,0.5249269265183715,0.5096946415419755,0.5396571042897181,0.23500000000000001,300,20260823,0.46,19.446998510933987
phase3_power_surface,n1000_a0.1_p5,1000,5,100,0.1,0.22,0.0,1.0,1.0,0.6278098639336926,0.6151068436649246,0.6426545600782063,0.29800000000000004,300,20260823,1.0,20.95999618810675
phase3_power_surface,n1000_a0.1_p5,1000,5,100,0.1,0.32,0.0,1.0,1.0,0.7321726759109737,0.720968958795795,0.7429719828917186,0.388,300,20260823,1.0,22.20161530092779
phase3_power_surface,n1000_a0.1_p5,1000,5,100,0.1,0.45,0.0,1.0,1.0,0.8237247143929884,0.8155984054603058,0.8303796429074624,0.505,300,20260823,1.0,23.119029767484633
phase3_power_surface,n1000_a0.1_p5,1000,5,100,0.1,0.62,0.0,1.0,1.0,0.9015079145130764,0.8973905406097578,0.90618652865173,0.658,300,20260823,1.0,23.694952847961872
phase3_power_surface,n1000_a0.1_p5,1000,5,100,0.1,0.8,0.0,1.0,1.0,0.9571831307415777,0.9553639179802448,0.9589405846536088,0.8200000000000001,300,20260823,1.0,24.166157978362833
phase3_power_surface,n1000_a0.1_p5,1000,5,100,0.1,0.93,0.0,1.0,1.0,0.9867496865202279,0.9861950452845566,0.9873826408773689,0.937,300,20260823,1.0,24.471996723490307
phase3_power_surface,n1000_a0.5_p1,1000,1,500,0.5,0.01,0.0,0.09333333333333334,0.08333333333333333,0.5063706301105977,0.4906348686105464,0.5205987988562504,0.505,300,20260823,0.0,0.07716787651335577
phase3_power_surface,n1000_a0.5_p1,1000,1,500,0.5,0.02,0.0,0.1,0.07666666666666666,0.5075647416110685,0.492433896291236,0.5237145263186146,0.51,300,20260823,0.0,0.1371323038204194
phase3_power_surface,n1000_a0.5_p1,1000,1,500,0.5,0.04,0.0,0.2,0.17,0.5197461877653596,0.5082432119849543,0.5333773984169299,0.52,300,20260823,0.0,0.014310639466203062
phase3_power_surface,n1000_a0.5_p1,1000,1,500,0.5,0.07,0.0,0.5033333333333333,0.4533333333333333,0.5368290984739716,0.5185285152744358,0.5514217844562266,0.535,300,20260823,0.0,0.10350085729666969
phase3_power_surface,n1000_a0.5_p1,1000,1,500,0.5,0.1,0.0,0.73,0.6766666666666666,0.5488525355921969,0.5342327359537073,0.5640689413978452,0.55,300,20260823,0.0,0.06523249637743733
phase3_power_surface,n1000_a0.5_p1,1000,1,500,0.5,0.15,0.0,0.9533333333333334,0.9333333333333333,0.5735503805386214,0.5586611843564098,0.5881966315603719,0.575,300,20260823,0.0,0.08344593769416475
phase3_power_surface,n1000_a0.5_p1,1000,1,500,0.5,0.22,0.0,1.0,1.0,0.610855303476793,0.5944003485969214,0.6222761601591643,0.61,300,20260823,0.0,0.05061717623107054
phase3_power_surface,n1000_a0.5_p1,1000,1,500,0.5,0.32,0.0,1.0,1.0,0.6597257221684673,0.6480977243284965,0.671114428783461,0.66,300,20260823,0.0,0.01719819419558455
phase3_power_surface,n1000_a0.5_p1,1000,1,500,0.5,0.45,0.0,1.0,1.0,0.7230757054270545,0.7109624487703421,0.7347860463814381,0.725,300,20260823,0.0,0.13553828187729344
phase3_power_surface,n1000_a0.5_p1,1000,1,500,0.5,0.62,0.0,1.0,1.0,0.8105072581227308,0.8018538890585264,0.8197892037214792,0.81,300,20260823,0.0,0.046433842377254564
